time	-Is(J1)
Step Information: K=-3  (Run: 1/8)
0.000000000000000e+000	-3.566274e-012
2.097151940688491e-003	1.779714e-006
4.194303881376982e-003	3.548053e-006
8.388607762753964e-003	7.053967e-006
1.522454526275396e-002	1.269734e-005
2.206048276275396e-002	1.825333e-005
3.573235776275396e-002	2.907510e-005
4.940423276275396e-002	3.950986e-005
6.991204526275396e-002	5.443622e-005
9.041985776275396e-002	6.849146e-005
1.177636077627540e-001	8.587632e-005
1.451073577627540e-001	1.017116e-004
1.724511077627540e-001	1.159968e-004
2.066307952627540e-001	1.316727e-004
2.408104827627540e-001	1.449247e-004
2.749901702627540e-001	1.557519e-004
3.091698577627540e-001	1.641532e-004
3.433495452627540e-001	1.701277e-004
3.775292327627540e-001	1.736743e-004
4.185448577627540e-001	1.748210e-004
6.837490170262754e+000	1.770616e-004
6.999999194677157e+000	1.771183e-004
7.000000000000000e+000	1.771183e-004
Step Information: K=-2.5  (Run: 2/8)
0.000000000000000e+000	-3.041131e-012
4.194303881376982e-003	7.886420e-006
1.522454526275396e-002	2.844591e-005
3.573235776275396e-002	6.604181e-005
6.307610776275396e-002	1.148234e-004
9.725579526275396e-002	1.736360e-004
1.382714202627540e-001	2.410355e-004
1.861229827627540e-001	3.152874e-004
2.408104827627540e-001	3.943665e-004
3.023339202627540e-001	4.759557e-004
3.706932952627540e-001	5.574453e-004
4.458886077627540e-001	6.359319e-004
5.210839202627540e-001	7.027249e-004
6.031151702627540e-001	7.622410e-004
6.851464202627540e-001	8.078142e-004
7.740136077627540e-001	8.414348e-004
8.628807952627540e-001	8.586576e-004
1.320888607762754e+000	8.618613e-004
6.830654232762754e+000	8.713155e-004
6.999999194677157e+000	8.716061e-004
7.000000000000000e+000	8.716061e-004
Step Information: K=-2  (Run: 3/8)
0.000000000000000e+000	-2.513582e-012
4.194303881376982e-003	1.220684e-005
2.206048276275396e-002	6.380033e-005
4.940423276275396e-002	1.415286e-004
9.041985776275396e-002	2.552532e-004
1.451073577627540e-001	4.015302e-004
2.134667327627540e-001	5.757632e-004
2.886620452627540e-001	7.563569e-004
3.775292327627540e-001	9.548301e-004
4.732323577627540e-001	1.150432e-003
5.826073577627540e-001	1.350916e-003
6.988182952627540e-001	1.536944e-003
8.218651702627540e-001	1.703565e-003
9.517479827627540e-001	1.845526e-003
1.081630795262754e+000	1.952600e-003
1.218349545262754e+000	2.027558e-003
1.355068295262754e+000	2.063734e-003
6.830654232762754e+000	2.089645e-003
6.999999194677157e+000	2.090342e-003
7.000000000000000e+000	2.090342e-003
Step Information: K=-1.5  (Run: 4/8)
0.000000000000000e+000	-1.982927e-012
8.388607762753964e-003	3.297749e-005
3.573235776275396e-002	1.395174e-004
7.674798276275396e-002	2.964913e-004
1.382714202627540e-001	5.255366e-004
2.134667327627540e-001	7.950187e-004
3.091698577627540e-001	1.121336e-003
4.185448577627540e-001	1.471396e-003
5.415917327627540e-001	1.836010e-003
6.783104827627540e-001	2.204818e-003
8.287011077627540e-001	2.566277e-003
9.859276702627540e-001	2.894534e-003
1.156826107762754e+000	3.193678e-003
1.334560482762754e+000	3.440948e-003
1.519130795262754e+000	3.628683e-003
1.703701107762754e+000	3.745914e-003
1.888271420262754e+000	3.792482e-003
6.830654232762754e+000	3.830388e-003
6.999999194677157e+000	3.831662e-003
7.000000000000000e+000	3.831662e-003
Step Information: K=-1  (Run: 5/8)
0.000000000000000e+000	-1.448072e-012
8.388607762753964e-003	4.154748e-005
3.573235776275396e-002	1.760282e-004
8.358392026275396e-002	4.077503e-004
1.587792327627540e-001	7.625321e-004
2.544823577627540e-001	1.197525e-003
3.706932952627540e-001	1.700786e-003
5.074120452627540e-001	2.257781e-003
6.646386077627540e-001	2.851370e-003
8.355370452627540e-001	3.439494e-003
1.026943295262754e+000	4.027456e-003
1.232021420262754e+000	4.574283e-003
1.443935482762754e+000	5.048771e-003
1.669521420262754e+000	5.452456e-003
1.901943295262754e+000	5.758692e-003
2.134365170262754e+000	5.953295e-003
2.373622982762754e+000	6.036684e-003
6.830654232762754e+000	6.091882e-003
6.999999194677157e+000	6.093907e-003
7.000000000000000e+000	6.093907e-003
Step Information: K=-500m  (Run: 6/8)
0.000000000000000e+000	-9.070973e-013
1.522454526275396e-002	9.079284e-005
5.624017026275396e-002	3.331404e-004
1.245995452627540e-001	7.295434e-004
2.203026702627540e-001	1.268725e-003
3.433495452627540e-001	1.934870e-003
4.937401702627540e-001	2.707602e-003
6.646386077627540e-001	3.530268e-003
8.560448577627540e-001	4.381492e-003
1.067958920262754e+000	5.237247e-003
1.300380795262754e+000	6.070822e-003
1.546474545262754e+000	6.833374e-003
1.806240170262754e+000	7.503922e-003
2.079677670262754e+000	8.060209e-003
2.359951107762754e+000	8.470690e-003
2.647060482762754e+000	8.722964e-003
2.934169857762754e+000	8.804672e-003
6.830654232762754e+000	8.872472e-003
6.999999194677157e+000	8.875418e-003
7.000000000000000e+000	8.875418e-003
Step Information: K=0  (Run: 7/8)
0.000000000000000e+000	0.000000e+000
1.522454526275396e-002	1.062197e-004
6.307610776275396e-002	4.371355e-004
1.451073577627540e-001	9.937823e-004
2.613182952627540e-001	1.759342e-003
4.048729827627540e-001	2.667714e-003
5.826073577627540e-001	3.735118e-003
7.876854827627540e-001	4.887869e-003
1.020107357762754e+000	6.091914e-003
1.273037045262754e+000	7.278224e-003
1.546474545262754e+000	8.414926e-003
1.840419857762754e+000	9.467380e-003
2.148037045262754e+000	1.038005e-002
2.469326107762754e+000	1.112644e-002
2.797451107762754e+000	1.166972e-002
3.132412045262754e+000	1.199517e-002
3.481044857762754e+000	1.209064e-002
6.830654232762754e+000	1.217050e-002
6.999999194677157e+000	1.217454e-002
7.000000000000000e+000	1.217454e-002
Step Information: K=500m  (Run: 8/8)
0.000000000000000e+000	8.345292e-006
1.048575970344245e-003	1.672998e-005
4.194303881376982e-003	4.186845e-005
8.388607762753964e-003	7.535287e-005
1.522454526275396e-002	1.298609e-004
2.206048276275396e-002	1.842876e-004
2.889642026275396e-002	2.386237e-004
3.573235776275396e-002	2.928687e-004
4.256829526275396e-002	3.470223e-004
4.940423276275396e-002	4.010842e-004
5.624017026275396e-002	4.550541e-004
6.307610776275396e-002	5.089319e-004
7.674798276275396e-002	6.164106e-004
9.725579526275396e-002	7.769353e-004
1.245995452627540e-001	9.896717e-004
1.929589202627540e-001	1.515022e-003
3.296776702627540e-001	2.537870e-003
5.005761077627540e-001	3.764126e-003
7.056542327627540e-001	5.158756e-003
9.449120452627540e-001	6.679563e-003
1.211513607762754e+000	8.238984e-003
1.505458920262754e+000	9.792635e-003
1.826747982762754e+000	1.129130e-002
2.168544857762754e+000	1.265599e-002
2.524013607762754e+000	1.382309e-002
2.893154232762754e+000	1.476175e-002
3.275966732762754e+000	1.543973e-002
3.658779232762754e+000	1.581548e-002
4.157802670262754e+000	1.590519e-002
6.830654232762754e+000	1.598878e-002
6.999999194677157e+000	1.599408e-002
7.000000000000000e+000	1.599408e-002
