x-axis,MATH
Hertz,dBV
+135.0000E+03,-59.96044E+00
+135.5000E+03,-57.80223E+00
+136.0000E+03,-50.54638E+00
+136.5000E+03,-45.82958E+00
+137.0000E+03,-35.31200E+00
+137.5000E+03,-23.53466E+00
+138.0000E+03,-18.09520E+00
+138.5000E+03,-16.01513E+00
+139.0000E+03,-16.03466E+00
+139.5000E+03,-16.82567E+00
+140.0000E+03,-20.64403E+00
+140.5000E+03,-29.02294E+00
+141.0000E+03,-41.67919E+00
+141.5000E+03,-49.13036E+00
+142.0000E+03,-54.58934E+00
+142.5000E+03,-61.05419E+00
+143.0000E+03,-62.73388E+00
+143.5000E+03,-66.76708E+00
+144.0000E+03,-70.65380E+00
+144.5000E+03,-74.10106E+00
+145.0000E+03,-69.76513E+00
+145.5000E+03,-69.13036E+00
+146.0000E+03,-67.22606E+00
+146.5000E+03,-68.94481E+00
+147.0000E+03,-74.10106E+00
+147.5000E+03,-72.82177E+00
+148.0000E+03,-68.98388E+00
+148.5000E+03,-69.42333E+00
+149.0000E+03,-70.50731E+00
+149.5000E+03,-69.80419E+00
+150.0000E+03,-70.07763E+00
+150.5000E+03,-71.88427E+00
+151.0000E+03,-74.62841E+00
+151.5000E+03,-73.98388E+00
+152.0000E+03,-74.08153E+00
+152.5000E+03,-74.91161E+00
+153.0000E+03,-74.49169E+00
+153.5000E+03,-69.31591E+00
+154.0000E+03,-73.46630E+00
+154.5000E+03,-75.61473E+00
+155.0000E+03,-69.49169E+00
+155.5000E+03,-70.25341E+00
+156.0000E+03,-71.96239E+00
+156.5000E+03,-70.23388E+00
+157.0000E+03,-71.17138E+00
+157.5000E+03,-74.83348E+00
+158.0000E+03,-76.27880E+00
+158.5000E+03,-72.24559E+00
+159.0000E+03,-69.57958E+00
+159.5000E+03,-68.08544E+00
+160.0000E+03,-68.98388E+00
+160.5000E+03,-72.05028E+00
+161.0000E+03,-72.52880E+00
+161.5000E+03,-69.48192E+00
+162.0000E+03,-64.84325E+00
+162.5000E+03,-60.74169E+00
+163.0000E+03,-59.33544E+00
+163.5000E+03,-59.47216E+00
+164.0000E+03,-60.49755E+00
+164.5000E+03,-63.01708E+00
+165.0000E+03,-65.95653E+00
+165.5000E+03,-68.71044E+00
+166.0000E+03,-69.78466E+00
+166.5000E+03,-73.00731E+00
+167.0000E+03,-73.46630E+00
+167.5000E+03,-75.42919E+00
+168.0000E+03,-77.17723E+00
+168.5000E+03,-76.40575E+00
+169.0000E+03,-74.17919E+00
+169.5000E+03,-74.40380E+00
+170.0000E+03,-74.62841E+00
+170.5000E+03,-73.09520E+00
+171.0000E+03,-71.62059E+00
+171.5000E+03,-68.86669E+00
+172.0000E+03,-69.54052E+00
+172.5000E+03,-72.38231E+00
+173.0000E+03,-74.84325E+00
+173.5000E+03,-75.33153E+00
+174.0000E+03,-74.73583E+00
+174.5000E+03,-68.55419E+00
+175.0000E+03,-71.82567E+00
+175.5000E+03,-81.64013E+00
+176.0000E+03,-78.76903E+00
+176.5000E+03,-70.15575E+00
+177.0000E+03,-73.65184E+00
+177.5000E+03,-81.67919E+00
+178.0000E+03,-74.29638E+00
+178.5000E+03,-74.85302E+00
+179.0000E+03,-76.52294E+00
+179.5000E+03,-74.83348E+00
+180.0000E+03,-69.76513E+00
+180.5000E+03,-69.49169E+00
+181.0000E+03,-68.67138E+00
+181.5000E+03,-68.40770E+00
+182.0000E+03,-67.61669E+00
+182.5000E+03,-68.70067E+00
+183.0000E+03,-70.17528E+00
+183.5000E+03,-64.84325E+00
+184.0000E+03,-64.81395E+00
+184.5000E+03,-64.72606E+00
+185.0000E+03,-65.95653E+00
+185.5000E+03,-70.04833E+00
+186.0000E+03,-69.92138E+00
+186.5000E+03,-65.93700E+00
+187.0000E+03,-66.12255E+00
+187.5000E+03,-66.67919E+00
+188.0000E+03,-67.18700E+00
+188.5000E+03,-69.81395E+00
+189.0000E+03,-72.86083E+00
+189.5000E+03,-72.06981E+00
+190.0000E+03,-72.64598E+00
+190.5000E+03,-74.89208E+00
+191.0000E+03,-75.43895E+00
+191.5000E+03,-70.76122E+00
+192.0000E+03,-65.78075E+00
+192.5000E+03,-65.89794E+00
+193.0000E+03,-69.60888E+00
+193.5000E+03,-77.67528E+00
+194.0000E+03,-70.65380E+00
+194.5000E+03,-67.69481E+00
+195.0000E+03,-68.01708E+00
+195.5000E+03,-68.83739E+00
+196.0000E+03,-68.85692E+00
+196.5000E+03,-71.44481E+00
+197.0000E+03,-74.12059E+00
+197.5000E+03,-70.60497E+00
+198.0000E+03,-68.12450E+00
+198.5000E+03,-66.48388E+00
+199.0000E+03,-68.62255E+00
+199.5000E+03,-74.12059E+00
+200.0000E+03,-71.36669E+00
+200.5000E+03,-70.01903E+00
+201.0000E+03,-65.97606E+00
+201.5000E+03,-67.65575E+00
+202.0000E+03,-72.92919E+00
+202.5000E+03,-73.63231E+00
+203.0000E+03,-74.60888E+00
+203.5000E+03,-74.54052E+00
+204.0000E+03,-65.54638E+00
+204.5000E+03,-65.62450E+00
+205.0000E+03,-65.85888E+00
+205.5000E+03,-65.32177E+00
+206.0000E+03,-63.71044E+00
+206.5000E+03,-60.48778E+00
+207.0000E+03,-48.28075E+00
+207.5000E+03,-39.50145E+00
+208.0000E+03,-35.48778E+00
+208.5000E+03,-33.90575E+00
+209.0000E+03,-34.11083E+00
+209.5000E+03,-35.64403E+00
+210.0000E+03,-40.55614E+00
+210.5000E+03,-49.79442E+00
+211.0000E+03,-58.08544E+00
+211.5000E+03,-60.07763E+00
+212.0000E+03,-66.05419E+00
+212.5000E+03,-66.45458E+00
+213.0000E+03,-67.65575E+00
+213.5000E+03,-67.99755E+00
+214.0000E+03,-69.97997E+00
+214.5000E+03,-72.85106E+00
+215.0000E+03,-73.21239E+00
+215.5000E+03,-74.14013E+00
+216.0000E+03,-73.10497E+00
+216.5000E+03,-71.40575E+00
+217.0000E+03,-71.57177E+00
+217.5000E+03,-72.06981E+00
+218.0000E+03,-72.18700E+00
+218.5000E+03,-72.53856E+00
+219.0000E+03,-73.32958E+00
+219.5000E+03,-75.23388E+00
+220.0000E+03,-73.82763E+00
+220.5000E+03,-72.89013E+00
